Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
14545,Michael Cage,NJN,2000,C,27,12,0,12,3,81,9,4,8,8
14546,Marcus Camby,NYK,2000,C,601,226,1,225,148,461,49,72,43,116
14547,Elden Campbell,CHH,2000,C,987,370,0,370,247,590,129,127,56,150
14548,Antoine Carr,VAN,2000,SF,67,28,0,28,11,32,7,9,3,6
14549,Chris Carr,TOT,2000,SF-SG,531,196,32,164,107,173,84,117,30,15
14550,Chris Carr,GSW,2000,SG,39,11,1,10,16,13,3,5,0,1
14551,Chris Carr,CHI,2000,SF,492,185,31,154,91,160,81,112,30,14
14552,Anthony Carter,MIA,2000,PG,498,201,3,198,93,199,378,173,93,5
14553,Vince Carter,TOR,2000,SF,2107,788,95,693,436,476,322,178,110,92
14554,Sam Cassell,MIL,2000,PG,1506,545,26,519,390,301,729,267,102,8
14555,Kelvin Cato,HOU,2000,C,567,216,0,216,135,389,26,71,33,124
14556,Duane Causwell,MIA,2000,C,66,20,0,20,26,47,2,10,2,16
14557,Cedric Ceballos,DAL,2000,SF,1147,447,44,403,209,462,90,125,56,24
14558,John Celestand,LAL,2000,PG,37,15,2,13,5,11,20,16,7,0
14559,Rex Chapman,PHO,2000,SG,348,124,41,83,59,80,62,38,22,1
14560,Calbert Cheaney,BOS,2000,SG,267,120,18,102,9,138,80,46,44,14
14561,Pete Chilcutt,TOT,2000,PF,120,53,6,47,8,131,27,20,15,10
14562,Pete Chilcutt,UTA,2000,PF,47,22,1,21,2,43,10,9,5,4
14563,Pete Chilcutt,CLE,2000,PF,0,0,0,0,0,9,1,0,0,0
14564,Pete Chilcutt,LAC,2000,PF,73,31,5,26,6,79,16,11,10,6
14565,Chris Childs,NYK,2000,PG,376,146,37,109,47,147,285,105,36,4
14566,Doug Christie,TOR,2000,SG,903,311,99,212,182,285,321,144,102,43
14567,Keon Clark,DEN,2000,C,694,286,1,285,121,505,71,125,45,114
14568,Keith Closs,LAC,2000,C,238,96,0,96,46,179,25,34,13,73
14569,Derrick Coleman,CHH,2000,PF,1239,446,51,395,296,632,175,173,34,130
14570,Bimbo Coles,ATL,2000,PG,645,276,8,268,85,172,290,103,58,11
14571,Marty Conlon,LAC,2000,C,2,1,0,1,0,2,0,0,0,0
14572,Tyrone Corbin,SAC,2000,SF,219,88,10,78,33,165,60,29,36,5
14573,Chris Crawford,ATL,2000,PF,252,91,7,84,63,99,33,37,17,16
14574,Austin Croshere,IND,2000,PF,835,288,63,225,196,516,89,121,44,60
14575,John Crotty,DET,2000,PG,325,106,33,73,80,75,128,54,27,5
14576,Terry Cummings,GSW,2000,PF,184,76,0,76,32,107,21,27,13,8
14577,Vonteego Cummings,GSW,2000,PG,706,265,49,216,127,184,247,132,91,13
14578,Bill Curley,TOT,2000,SF-PF,76,29,0,29,18,50,14,21,13,4
14579,Bill Curley,HOU,2000,PF,12,6,0,6,0,8,0,4,2,0
14580,Bill Curley,GSW,2000,SF,64,23,0,23,18,42,14,17,11,4
14581,Dell Curry,TOR,2000,SG,507,194,95,99,24,100,89,40,32,9
14582,Michael Curry,DET,2000,SG,506,182,1,181,141,104,87,73,33,5
14583,Erick Dampier,GSW,2000,C,167,70,0,70,27,134,19,29,8,15
14584,Antonio Daniels,SAS,2000,SG,420,163,22,141,72,86,177,58,55,5
14585,Kornel David,TOT,2000,SF,179,67,0,67,45,81,17,33,17,3
14586,Kornel David,CHI,2000,SF,168,63,0,63,42,73,16,31,13,2
14587,Kornel David,CLE,2000,SF,11,4,0,4,3,8,1,2,4,1
14588,Antonio Davis,TOR,2000,C,910,313,0,313,284,696,105,121,38,100
14589,Baron Davis,CHH,2000,PG,486,182,25,157,97,165,309,140,97,19
14590,Ben Davis,PHO,2000,PF,4,2,0,2,0,9,2,3,1,1
14591,Dale Davis,IND,2000,C,743,302,0,302,139,729,64,91,52,94
14592,Emanual Davis,SEA,2000,PG,217,80,31,49,26,100,70,44,38,5
14593,Hubert Davis,DAL,2000,PG,583,217,82,135,67,134,141,70,24,3
14594,Mark Davis,GSW,2000,SF,143,56,0,56,31,84,38,40,25,4
14595,Ricky Davis,CHH,2000,SG,227,94,0,94,39,83,62,46,30,8
14596,Todd Day,PHO,2000,SG,396,130,64,66,72,129,65,50,44,22
14597,Andrew DeClercq,CLE,2000,C,544,225,0,225,94,439,58,108,63,66
14598,Vinny Del,MIL,2000,PG,349,153,8,145,35,107,160,48,36,0
14599,Tony Delk,SAC,2000,PG,296,120,9,111,47,88,55,32,35,5
14600,Derrick Dial,SAS,2000,SG,40,17,3,14,3,26,5,6,1,1
