Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
15214,Adam Keefe,GSW,2001,PF,168,64,1,63,39,209,36,40,28,20
15215,Shawn Kemp,POR,2001,PF,441,168,4,164,101,259,65,99,45,23
15216,Steve Kerr,SAS,2001,PG,181,67,33,34,14,35,57,21,16,1
15217,Jerome Kersey,MIL,2001,SF,72,32,0,32,8,45,15,6,14,8
15218,Lari Ketner,IND,2001,PF,0,0,0,0,0,0,1,2,0,0
15219,Jason Kidd,PHO,2001,PG,1299,451,69,382,328,494,753,286,166,23
15220,Gerard King,WAS,2001,SF,216,90,0,90,36,129,31,47,14,11
15221,Brevin Knight,TOT,2001,PG,333,139,1,138,54,168,311,91,101,4
15222,Brevin Knight,CLE,2001,PG,9,2,0,2,5,7,25,7,6,1
15223,Brevin Knight,ATL,2001,PG,324,137,1,136,49,161,286,84,95,3
15224,Travis Knight,NYK,2001,C,29,10,0,10,9,53,5,10,5,11
15225,Toni Kukoc,TOT,2001,SF,721,275,70,205,101,259,199,111,48,11
15226,Toni Kukoc,PHI,2001,SF,386,151,32,119,52,162,93,60,35,6
15227,Toni Kukoc,ATL,2001,SF,335,124,38,86,49,97,106,51,13,5
15228,Christian Laettner,TOT,2001,C-PF,728,277,4,273,170,365,124,137,71,46
15229,Christian Laettner,DAL,2001,C,398,165,1,164,67,212,67,70,40,27
15230,Christian Laettner,WAS,2001,PF,330,112,3,109,103,153,57,67,31,19
15231,Raef LaFrentz,DEN,2001,C,1008,387,51,336,183,607,107,97,37,206
15232,Trajan Langdon,CLE,2001,SG,389,135,51,84,68,89,81,52,38,9
15233,Dan Langhi,HOU,2001,SF,90,37,0,37,16,41,4,8,7,1
15234,Voshon Lenard,DEN,2001,SG,972,336,147,189,153,231,190,102,65,18
15235,Quincy Lewis,UTA,2001,SF,124,50,9,41,15,47,18,17,10,10
15236,Rashard Lewis,SEA,2001,PF,1151,426,123,303,176,541,125,129,91,45
15237,Randy Livingston,GSW,2001,PG,0,0,0,0,0,1,1,0,0,0
15238,Art Long,SAC,2001,SF,0,0,0,0,0,8,1,2,0,3
15239,Grant Long,VAN,2001,PF,396,140,4,136,112,274,83,62,72,15
15240,Luc Longley,NYK,2001,C,49,18,0,18,13,66,7,22,3,9
15241,Felipe Lopez,TOT,2001,SG-PG,550,211,19,192,109,234,107,83,62,30
15242,Felipe Lopez,WAS,2001,SG,380,142,6,136,90,160,73,56,41,18
15243,Felipe Lopez,MIN,2001,PG,170,69,13,56,19,74,34,27,21,12
15244,Tyronn Lue,LAL,2001,PG,130,50,11,39,19,32,45,27,19,0
15245,George Lynch,PHI,2001,SF,686,274,15,259,123,590,139,109,99,30
15246,Todd MacCulloch,PHI,2001,C,260,109,0,109,42,168,10,27,7,19
15247,Don MacLean,MIA,2001,SF,31,10,2,8,9,18,4,10,5,1
15248,Mark Madsen,LAL,2001,PF,137,55,1,54,26,152,24,27,8,8
15249,Corey Maggette,LAC,2001,SF,690,225,17,208,223,291,82,106,35,9
15250,Jamaal Magloire,CHH,2001,C,339,122,0,122,95,295,27,61,18,78
15251,Dan Majerle,MIA,2001,SG,267,87,57,30,36,166,88,35,53,15
15252,Karl Malone*,UTA,2001,PF,1878,670,2,668,536,669,361,244,93,62
15253,Matt Maloney,ATL,2001,PG,369,146,51,95,26,117,154,70,56,5
15254,Danny Manning,UTA,2001,PF,603,247,7,240,102,214,92,96,47,29
15255,Stephon Marbury,NJN,2001,PG,1598,563,110,453,362,205,506,197,79,5
15256,Shawn Marion,PHO,2001,SF,1369,557,21,536,234,848,160,129,132,108
15257,Donyell Marshall,UTA,2001,SF,1100,427,41,386,205,566,133,128,85,78
15258,Darrick Martin,SAC,2001,PG,103,29,14,15,31,16,14,10,7,0
15259,Kenyon Martin,NJN,2001,PF,814,346,1,345,121,502,131,138,78,113
15260,Jamal Mashburn,CHH,2001,SF,1528,573,103,470,279,576,411,211,85,13
15261,Anthony Mason,MIA,2001,PF,1290,460,0,460,370,770,248,179,80,25
15262,Desmond Mason,SEA,2001,SF,463,189,18,171,67,249,63,53,39,20
15263,Tony Massenburg,VAN,2001,PF,233,92,0,92,49,210,9,48,10,28
15264,Vernon Maxwell,TOT,2001,PG,201,73,34,39,21,66,49,35,21,3
15265,Vernon Maxwell,PHI,2001,PG,120,42,21,21,15,37,29,18,12,0
15266,Vernon Maxwell,DAL,2001,PG,81,31,13,18,6,29,20,17,9,3
15267,Walter McCarty,BOS,2001,PF,131,45,19,26,22,81,39,20,14,7
15268,Dan McClintock,DEN,2001,C,18,9,0,9,0,17,1,3,0,2
15269,George McCloud,DEN,2001,SF,729,250,77,173,152,224,279,117,53,27
15270,Jelani McCoy,SEA,2001,C,317,138,0,138,41,251,57,75,18,49
15271,Antonio McDyess,DEN,2001,PF,1458,577,0,577,304,845,146,162,43,102
15272,Tracy McGrady,ORL,2001,SG,2065,788,59,729,430,580,352,198,116,118
15273,Jim McIlvaine,NJN,2001,C,28,10,0,10,8,35,4,9,7,15
15274,Jeff McInnis,LAC,2001,PG,1046,432,52,380,130,220,447,113,75,7
15275,Derrick McKey,IND,2001,SF,145,60,4,56,21,176,74,47,48,13
15276,Aaron McKie,PHI,2001,SG,878,338,53,285,149,311,377,203,106,8
15277,Roshown McLeod,TOT,2001,SF,337,145,2,143,45,120,58,58,23,8
15278,Roshown McLeod,ATL,2001,SF,335,144,2,142,45,118,58,57,23,8
15279,Roshown McLeod,PHI,2001,SF,2,1,0,1,0,2,0,1,0,0
15280,Paul McPherson,TOT,2001,PG,262,109,2,107,42,79,38,47,25,4
15281,Paul McPherson,PHO,2001,PG,112,47,0,47,18,48,16,23,12,3
15282,Paul McPherson,GSW,2001,PG,150,62,2,60,24,31,22,24,13,1
15283,Stanislav Medvedenko,LAL,2001,PF,32,12,1,11,7,9,2,3,1,1
15284,Ron Mercer,CHI,2001,SG,1202,500,14,486,188,236,201,129,78,27
15285,Chris Mihm,CLE,2001,C,446,173,0,173,100,280,16,80,20,53
15286,Darius Miles,LAC,2001,SF,761,318,1,317,124,477,99,147,51,125
15287,Andre Miller,CLE,2001,PG,1296,452,17,435,375,360,657,265,119,28
15288,Anthony Miller,TOT,2001,PF,2,1,0,1,0,2,0,1,0,0
15289,Anthony Miller,ATL,2001,PF,2,1,0,1,0,2,0,1,0,0
15290,Anthony Miller,HOU,2001,PF,0,0,0,0,0,0,0,0,0,0
15291,Anthony Miller,PHI,2001,PF,0,0,0,0,0,0,0,0,0,0
15292,Brad Miller,CHI,2001,C,505,168,1,167,168,419,107,73,33,38
15293,Mike Miller,ORL,2001,SF,975,368,148,220,91,327,140,97,51,19
15294,Reggie Miller*,IND,2001,SG,1527,517,170,347,323,285,260,133,81,15
15295,Chris Mills,GSW,2001,SF,180,71,7,64,31,93,18,20,9,5
15296,Terry Mills,IND,2001,PF,25,11,3,8,0,21,5,10,3,1
15297,Sam Mitchell,MIN,2001,SF,285,118,9,109,40,123,57,36,26,10
15298,Cuttino Mobley,HOU,2001,SG,1538,527,90,437,394,397,195,165,84,26
15299,Nazr Mohammed,TOT,2001,C,441,176,0,176,89,307,19,64,29,35
15300,Nazr Mohammed,PHI,2001,C,96,41,0,41,14,55,2,9,6,7
15301,Nazr Mohammed,ATL,2001,C,345,135,0,135,75,252,17,55,23,28
15302,Jerome Moiso,BOS,2001,C,35,12,0,12,11,42,3,18,3,4
15303,Eric Montross,TOT,2001,C,120,56,0,56,8,173,19,41,11,26
15304,Eric Montross,DET,2001,C,107,50,0,50,7,144,15,37,8,23
15305,Eric Montross,TOR,2001,C,13,6,0,6,1,29,4,4,3,3
15306,Mikki Moore,DET,2001,C,359,132,0,132,95,316,33,74,24,61
15307,Hanno Mottola,ATL,2001,SF,319,123,0,123,73,174,25,67,11,9
15308,Alonzo Mourning*,MIA,2001,C,177,73,0,73,31,101,12,28,4,31
15309,Chris Mullin*,GSW,2001,SF,115,36,19,17,24,41,19,19,16,10
15310,Lamond Murray,CLE,2001,SF,998,391,61,330,155,340,124,141,83,27
15311,Tracy Murray,TOT,2001,SF,257,94,36,58,33,81,23,26,12,7
15312,Tracy Murray,DEN,2001,SF,50,17,7,10,9,22,9,6,4,1
15313,Tracy Murray,TOR,2001,SF,207,77,29,48,24,59,14,20,8,6
15314,Dikembe Mutombo*,TOT,2001,C,749,269,0,269,211,1015,76,144,29,203
15315,Dikembe Mutombo*,ATL,2001,C,445,169,0,169,107,693,54,92,20,137
15316,Dikembe Mutombo*,PHI,2001,C,304,100,0,100,104,322,22,52,9,66
15317,Mamadou N'Diaye,TOR,2001,C,4,1,0,1,2,2,0,0,0,0
15318,Lee Nailon,CHH,2001,SF,164,66,0,66,32,92,24,27,9,5
15319,Eduardo Najera,DAL,2001,PF,131,58,1,57,14,95,27,17,13,8
15320,Steve Nash,DAL,2001,PG,1092,386,89,297,231,223,509,205,72,5
15321,Tyrone Nesby,TOT,2001,SF-SG,512,189,49,140,85,173,76,65,51,20
15322,Tyrone Nesby,LAC,2001,SG,108,40,10,30,18,42,11,10,10,4
15323,Tyrone Nesby,WAS,2001,SF,404,149,39,110,67,131,65,55,41,16
15324,Rasho Nesterovic,MIN,2001,C,328,147,0,147,34,286,45,55,25,63
15325,Ira Newble,SAS,2001,SF,54,21,4,17,8,35,6,7,2,4
15326,Johnny Newman,NJN,2001,SG,895,291,59,232,254,176,115,106,63,10
15327,Moochie Norris,HOU,2001,PG,544,184,25,159,151,198,283,107,69,2
15328,Dirk Nowitzki,DAL,2001,PF,1784,591,151,440,451,754,173,156,79,101
15329,Jermaine O'Neal,IND,2001,C,1041,404,0,404,233,794,98,161,49,228
15330,Shaquille O'Neal*,LAL,2001,C,2125,813,0,813,499,940,277,218,47,204
15331,Charles Oakley,TOR,2001,PF,748,305,11,294,127,741,264,139,76,48
15332,Lamar Odom,LAC,2001,PF,1304,481,80,401,262,592,392,264,74,122
15333,Hakeem Olajuwon*,HOU,2001,C,689,283,0,283,123,431,72,81,70,88
15334,Kevin Ollie,TOT,2001,PG,216,76,1,75,63,95,146,49,30,1
15335,Kevin Ollie,NJN,2001,PG,22,5,0,5,12,23,25,9,5,0
15336,Kevin Ollie,PHI,2001,PG,194,71,1,70,51,72,121,40,25,1
15337,Michael Olowokandi,LAC,2001,C,701,308,0,308,85,525,46,169,30,108
15338,Greg Ostertag,UTA,2001,C,363,139,1,138,84,415,22,63,22,142
15339,Bo Outlaw,ORL,2001,PF,582,226,1,225,129,619,225,141,105,137
15340,Doug Overton,TOT,2001,PG,125,52,11,41,10,39,72,31,8,0
15341,Doug Overton,BOS,2001,PG,38,15,1,14,7,15,19,13,4,0
15342,Doug Overton,CHH,2001,PG,4,2,0,2,0,0,0,3,1,0
15343,Doug Overton,NJN,2001,PG,83,35,10,25,3,24,53,15,3,0
15344,Billy Owens,DET,2001,PF,198,88,3,85,19,205,55,39,32,12
15345,Olumide Oyedeji,SEA,2001,C,45,18,0,18,9,67,2,11,7,10
15346,Robert Pack,DEN,2001,PG,479,181,12,169,105,137,293,135,65,1
15347,Scott Padgett,UTA,2001,PF,56,18,5,13,15,39,5,10,6,3
15348,Milt Palacio,BOS,2001,PG,342,126,12,114,78,102,151,80,48,0
15349,Andy Panko,ATL,2001,SF,0,0,0,0,0,0,0,0,0,0
15350,Cherokee Parks,TOT,2001,C,299,134,0,134,31,229,46,41,25,36
15351,Cherokee Parks,WAS,2001,C,48,18,0,18,12,40,7,10,6,11
15352,Cherokee Parks,LAC,2001,C,251,116,0,116,19,189,39,31,19,25
15353,Ruben Patterson,SEA,2001,SF,988,370,2,368,246,382,161,155,103,45
15354,Gary Payton*,SEA,2001,PG,1823,725,102,623,271,361,642,209,127,26
15355,Anthony Peeler,MIN,2001,SG,791,308,100,208,75,192,192,105,91,18
15356,Mike Penberthy,LAL,2001,PG,267,92,55,37,28,63,71,34,22,2
15357,Will Perdue,POR,2001,C,14,6,0,6,2,18,2,0,3,2
15358,Sam Perkins,IND,2001,PF,242,86,38,48,32,168,41,19,33,18
15359,Elliot Perry,TOT,2001,PG,147,65,1,64,16,46,79,38,22,1
15360,Elliot Perry,ORL,2001,PG,10,5,0,5,0,4,5,6,3,0
15361,Elliot Perry,PHO,2001,PG,137,60,1,59,16,42,74,32,19,1
15362,Wesley Person,CLE,2001,SG,314,128,34,94,24,130,64,40,27,11
15363,Morris Peterson,TOR,2001,SG,747,290,63,227,104,259,105,78,63,20
15364,Eric Piatkowski,LAC,2001,SG,860,291,120,171,158,241,96,76,46,19
15365,Paul Pierce,BOS,2001,SF,2071,687,147,540,550,522,253,262,138,69
15366,Scottie Pippen*,POR,2001,SF,721,269,64,205,119,333,294,154,94,35
15367,Scot Pollard,SAC,2001,C,498,185,0,185,128,465,47,66,48,97
15368,Olden Polynice,UTA,2001,C,429,206,0,206,17,378,31,78,27,77
15369,Mark Pope,MIL,2001,PF,151,62,5,57,22,147,38,17,16,26
15370,Chris Porter,GSW,2001,SF,440,173,0,173,94,189,61,59,45,6
15371,Terry Porter,SAS,2001,PG,573,197,87,110,92,201,251,104,52,11
15372,James Posey,DEN,2001,SF,666,243,65,178,115,431,163,102,93,40
15373,Lavor Postell,NYK,2001,SG,59,17,3,14,22,25,5,17,4,2
15374,Vitaly Potapenko,BOS,2001,C,611,248,0,248,115,495,64,105,52,23
15375,Brent Price,VAN,2001,PG,13,3,1,2,6,4,5,4,2,0
15376,Laron Profit,WAS,2001,PG,152,56,7,49,33,64,89,46,36,11
15377,Joel Przybilla,MIL,2001,C,27,12,0,12,3,71,2,13,3,30
15378,Theo Ratliff,PHI,2001,C,621,228,0,228,165,413,58,126,30,187
15379,Eldridge Recasner,CHH,2001,PG,103,38,13,25,14,50,39,27,6,1
15380,Michael Redd,MIL,2001,SG,13,5,0,5,3,4,1,1,1,0
15381,Bryant Reeves,VAN,2001,C,622,254,1,253,113,452,80,90,43,54
15382,Don Reid,ORL,2001,PF,210,82,0,82,46,242,21,48,23,54
15383,J.R. Reid,CLE,2001,PF,10,2,0,2,6,8,1,1,2,1
15384,Glen Rice,NYK,2001,SF,899,331,82,249,155,307,89,96,41,13
15385,Quentin Richardson,LAC,2001,SG,613,232,50,182,99,257,62,64,42,7
15386,Mitch Richmond*,WAS,2001,SG,598,205,45,160,143,109,111,84,43,7
15387,Isaiah Rider,LAL,2001,SG,507,201,34,167,71,156,111,98,27,7
15388,Terrance Roberson,CHH,2001,SF,0,0,0,0,0,1,1,2,0,0
15389,Clifford Robinson,PHO,2001,PF,1345,501,90,411,253,334,237,186,87,82
15390,David Robinson*,SAS,2001,C,1151,400,0,400,351,691,116,122,80,197
15391,Eddie Robinson,CHH,2001,SF,498,216,2,214,64,198,59,43,50,32
15392,Glenn Robinson,MIL,2001,SF,1674,684,55,629,251,526,252,219,86,62
15393,Jamal Robinson,MIA,2001,SF,6,3,0,3,0,11,2,3,6,0
15394,James Robinson,ORL,2001,PG,10,4,2,2,0,8,0,4,4,1
15395,Larry Robinson,TOT,2001,PG-SG,199,67,44,23,21,87,36,25,28,2
15396,Larry Robinson,CLE,2001,SG,0,0,0,0,0,0,0,1,0,0
15397,Larry Robinson,ATL,2001,PG,199,67,44,23,21,87,36,24,28,2
15398,Carlos Rogers,HOU,2001,C,179,75,0,75,29,139,9,17,10,18
15399,Rodney Rogers,PHO,2001,SF,998,377,56,321,188,359,180,157,97,47
15400,Sean Rooks,LAC,2001,C,446,169,1,168,107,303,77,73,34,64
15401,Jalen Rose,IND,2001,SF,1478,567,59,508,285,359,435,211,65,43
15402,Malik Rose,SAS,2001,PF,437,160,3,157,114,308,48,74,59,40
15403,Michael Ruffin,CHI,2001,PF,119,40,0,40,39,262,39,46,30,38
15404,Bryon Russell,UTA,2001,SF,933,308,95,213,222,330,160,113,96,20
15405,Arvydas Sabonis*,POR,2001,C,616,247,1,246,121,331,91,85,40,62
15406,Soumaila Samake,NJN,2001,C,46,18,0,18,10,53,1,4,2,14
15407,Pepe Sanchez,TOT,2001,PG,20,9,0,9,2,15,41,6,11,1
15408,Pepe Sanchez,ATL,2001,PG,0,0,0,0,0,1,5,3,2,0
15409,Pepe Sanchez,PHI,2001,PG,20,9,0,9,2,14,36,3,9,1
15410,Daniel Santiago,PHO,2001,C,170,64,0,64,42,102,11,47,17,21
15411,Detlef Schrempf,POR,2001,SF,104,39,3,36,23,78,44,28,7,3
15412,Shawnelle Scott,SAS,2001,C,43,17,0,17,9,50,4,11,5,6
15413,Brian Shaw,LAL,2001,SG,421,164,42,122,51,304,258,97,49,27
15414,Brian Skinner,LAC,2001,PF,160,64,0,64,32,168,18,32,14,11
15415,Reggie Slater,MIN,2001,PF,254,90,0,90,74,186,26,43,18,9
15416,Jabari Smith,SAC,2001,C,26,11,0,11,4,8,6,3,4,0
15417,Joe Smith,DET,2001,PF,847,308,0,308,231,491,79,88,47,50
15418,Michael Smith,WAS,2001,PF,301,106,0,106,89,562,101,62,57,37
15419,Mike Smith,WAS,2001,SF,51,19,3,16,10,22,10,7,5,3
15420,Steve Smith,POR,2001,SG,1105,359,78,281,309,272,213,137,48,24
15421,Tony Smith,ATL,2001,SG,17,8,0,8,1,3,10,9,7,0
15422,Eric Snow,PHI,2001,PG,491,182,5,177,122,166,369,124,77,7
15423,Felton Spencer,NYK,2001,C,39,12,0,12,15,35,2,11,2,2
15424,Latrell Sprewell,NYK,2001,SF,1364,524,41,483,275,347,269,218,106,28
15425,Jerry Stackhouse,DET,2001,SG,2380,774,166,608,666,315,410,326,97,54
15426,John Starks,UTA,2001,SG,699,273,64,209,89,154,178,94,73,10
15427,Vladimir Stepania,NJN,2001,C,82,28,1,27,25,109,16,19,10,11
15428,DeShawn Stevenson,UTA,2001,SG,89,31,1,30,26,28,18,28,10,2
15429,Michael Stewart,TOR,2001,C,33,11,0,11,11,29,2,5,4,3
15430,Bryant Stith,BOS,2001,SG,756,245,91,154,175,284,168,90,93,14
15431,John Stockton*,UTA,2001,PG,944,328,61,267,227,227,713,203,132,21
15432,Peja Stojakovic,SAC,2001,SF,1529,559,144,415,267,434,164,146,91,13
15433,Damon Stoudamire,POR,2001,PG,1066,406,82,324,172,303,468,191,106,8
15434,Erick Strickland,TOT,2001,PG,260,81,30,51,68,128,95,48,44,2
15435,Erick Strickland,NYK,2001,PG,120,40,16,24,24,52,29,21,22,1
15436,Erick Strickland,VAN,2001,PG,140,41,14,27,44,76,66,27,22,1
15437,Mark Strickland,TOT,2001,SF,252,103,1,102,45,161,24,34,16,22
15438,Mark Strickland,DEN,2001,SF,201,82,0,82,37,120,17,24,12,19
15439,Mark Strickland,NJN,2001,SF,51,21,1,20,8,41,7,10,4,3
15440,Rod Strickland,TOT,2001,PG,498,182,4,178,130,140,303,107,53,5
15441,Rod Strickland,WAS,2001,PG,401,141,4,137,115,105,231,83,43,4
15442,Rod Strickland,POR,2001,PG,97,41,0,41,15,35,72,24,10,1
15443,Derek Strong,LAC,2001,PF,118,45,0,45,28,108,7,22,14,1
15444,Bruno Sundov,IND,2001,C,43,20,0,20,3,23,2,3,2,4
15445,Bob Sura,GSW,2001,SG,586,202,47,155,135,227,242,160,54,8
15446,Stromile Swift,VAN,2001,PF,391,153,0,153,85,284,28,64,62,82
15447,Wally Szczerbiak,MIN,2001,SF,1145,469,26,443,181,447,260,138,59,33
15448,Zan Tabak,IND,2001,C,216,98,0,98,20,213,33,57,10,30
15449,Dragan Tarlac,CHI,2001,C,103,39,0,39,25,122,31,38,7,19
15450,Maurice Taylor,HOU,2001,SF,899,390,0,390,119,378,104,125,28,38
15451,Jason Terry,ATL,2001,SG,1619,596,124,472,303,269,403,239,104,12
15452,Jamel Thomas,NJN,2001,SF,13,6,1,5,0,9,0,6,3,0
15453,Kenny Thomas,HOU,2001,PF,528,206,25,181,91,417,77,116,40,43
15454,Kurt Thomas,NYK,2001,PF,800,314,1,313,171,515,63,99,61,69
15455,Tim Thomas,MIL,2001,PF,954,326,107,219,195,313,138,114,78,45
15456,Otis Thorpe,CHH,2001,PF,138,59,0,59,20,145,29,32,12,7
15457,Robert Traylor,CLE,2001,C,402,161,0,161,80,300,63,98,49,76
15458,Gary Trent,DAL,2001,PF,133,57,0,57,19,92,10,22,13,8
15459,Jake Tsakalidis,PHO,2001,C,256,101,0,101,54,242,19,66,10,55
15460,Hedo Turkoglu,SAC,2001,SF,391,138,28,110,87,210,69,55,52,24
15461,Nick Van,DEN,2001,PG,1259,460,135,325,204,241,600,165,61,18
15462,Keith Van,NJN,2001,SF,831,308,65,243,150,347,82,103,40,20
15463,David Vanterpool,WAS,2001,PG,122,46,0,46,30,37,66,37,23,3
15464,Jacque Vaughn,UTA,2001,PG,498,170,30,140,128,150,323,129,48,3
15465,Loy Vaught,TOT,2001,PF,168,80,0,80,8,173,23,26,21,7
15466,Loy Vaught,DAL,2001,PF,114,55,0,55,4,123,16,18,15,5
15467,Loy Vaught,WAS,2001,PF,54,25,0,25,4,50,7,8,6,2
15468,Jake Voskuhl,CHI,2001,C,30,11,0,11,8,34,5,12,5,6
15469,Antoine Walker,BOS,2001,PF,1892,711,221,490,249,719,445,301,138,49
15470,Samaki Walker,SAS,2001,PF,321,121,1,120,78,243,29,68,10,41
15471,Ben Wallace,DET,2001,C,511,215,1,214,80,1052,123,117,107,186
15472,John Wallace,DET,2001,SF,237,100,2,98,35,83,23,36,13,16
15473,Rasheed Wallace,POR,2001,PF,1477,590,52,538,245,602,212,158,90,135
15474,Charlie Ward,NYK,2001,PG,433,155,67,88,56,159,273,112,70,10
15475,Clarence Weatherspoon,CLE,2001,PF,924,347,0,347,230,796,103,112,85,105
15476,Chris Webber,SAC,2001,PF,1898,786,2,784,324,777,294,195,93,118
15477,Bonzi Wells,POR,2001,SF,950,387,17,370,159,367,208,169,94,20
15478,David Wesley,CHH,2001,SG,1414,523,97,426,271,224,361,171,128,16
15479,Doug West,VAN,2001,SG,28,11,0,11,6,15,14,4,3,4
15480,Jahidi White,WAS,2001,C,583,203,0,203,177,521,20,136,32,111
15481,Chris Whitney,WAS,2001,PG,558,182,93,89,101,106,248,103,55,3
15482,Aaron Williams,NJN,2001,PF,838,297,0,297,244,590,88,132,59,113
15483,Alvin Williams,TOR,2001,SG,802,330,33,297,109,212,407,103,123,26
15484,Eric Williams,BOS,2001,SF,535,162,46,116,165,207,112,76,64,13
15485,Jason Williams,SAC,2001,PG,720,281,98,183,60,185,416,160,94,9
15486,Jerome Williams,TOT,2001,PF,372,136,0,136,100,382,45,63,57,20
15487,Jerome Williams,DET,2001,PF,241,88,0,88,65,278,32,47,39,10
15488,Jerome Williams,TOR,2001,PF,131,48,0,48,35,104,13,16,18,10
15489,Monty Williams,ORL,2001,SF,410,162,1,161,85,243,79,85,29,16
15490,Scott Williams,MIL,2001,C,403,171,1,170,60,364,35,41,48,32
15491,Shammond Williams,SEA,2001,PG,467,161,61,100,84,132,190,82,31,4
15492,Walt Williams,HOU,2001,SF,599,202,98,104,97,245,97,73,30,28
15493,Corliss Williamson,TOT,2001,SF,801,325,0,325,151,321,61,110,50,21
15494,Corliss Williamson,TOR,2001,SF,390,153,0,153,84,153,33,65,15,13
15495,Corliss Williamson,DET,2001,SF,411,172,0,172,67,168,28,45,35,8
15496,Kevin Willis,TOT,2001,C,722,304,1,303,113,532,50,87,57,52
15497,Kevin Willis,TOR,2001,C,309,124,0,124,61,223,21,40,19,21
15498,Kevin Willis,DEN,2001,C,413,180,1,179,52,309,29,47,38,31
15499,David Wingate,SEA,2001,SG,6,3,0,3,0,0,2,0,0,0
15500,Ruben Wolkowyski,SEA,2001,PF,75,25,0,25,25,46,3,12,6,18
15501,Metta World,CHI,2001,SF,907,327,43,284,210,294,228,159,152,45
15502,Lorenzen Wright,ATL,2001,C,881,363,0,363,155,535,87,125,42,63
15503,Wang Zhizhi,DAL,2001,C,24,8,0,8,8,7,0,1,0,0
15504,,,,,,,,,,,,,,
15505,Tariq Abdul-Wahad,TOT,2002,SG,135,55,1,54,24,84,24,27,20,10
15506,Tariq Abdul-Wahad,DEN,2002,SG,135,55,1,54,24,78,22,24,18,9
15507,Tariq Abdul-Wahad,DAL,2002,SG,0,0,0,0,0,6,2,3,2,1
15508,Shareef Abdur-Rahim,ATL,2002,PF,1636,598,21,577,419,696,239,250,98,81
15509,Courtney Alexander,WAS,2002,SG,549,223,5,218,98,148,86,60,35,7
15510,Victor Alexander,DET,2002,C,40,18,0,18,4,29,6,5,0,1
15511,Malik Allen,MIA,2002,PF,52,22,0,22,8,38,5,2,3,8
15512,Ray Allen,MIL,2002,SG,1503,530,229,301,214,312,271,159,88,18
15513,Rafer Alston,MIL,2002,PG,177,66,27,39,18,72,143,40,32,2
15514,John Amaechi,UTA,2002,PF,175,54,0,54,67,109,29,55,7,10
15515,Chris Andersen,DEN,2002,C,72,25,0,25,22,76,7,13,7,28
15516,Derek Anderson,POR,2002,SG,757,247,85,162,178,189,216,87,68,8
15517,Kenny Anderson,BOS,2002,PG,731,312,9,303,98,275,403,119,141,10
15518,Nick Anderson,MEM,2002,SG,60,21,13,8,5,33,14,14,6,6
15519,Shandon Anderson,NYK,2002,SG,411,149,39,110,74,249,76,97,48,15
15520,Greg Anthony,TOT,2002,PG,474,183,48,135,60,132,282,94,77,5
15521,Greg Anthony,CHI,2002,PG,302,113,29,84,47,88,203,58,49,4
15522,Greg Anthony,MIL,2002,PG,172,70,19,51,13,44,79,36,28,1
15523,Gilbert Arenas,GSW,2002,PG,511,174,39,135,124,132,174,97,69,11
15524,Brandon Armstrong,NJN,2002,SG,64,27,5,22,5,16,8,8,7,1
15525,Darrell Armstrong,ORL,2002,PG,1015,347,139,208,182,319,453,175,157,10
15526,Carlos Arroyo,TOT,2002,PG,111,49,0,49,13,40,70,23,11,1
15527,Carlos Arroyo,TOR,2002,PG,30,13,0,13,4,12,21,12,6,0
15528,Carlos Arroyo,DEN,2002,PG,81,36,0,36,9,28,49,11,5,1
15529,Chucky Atkins,DET,2002,PG,957,368,138,230,83,158,263,128,72,11
15530,Stacey Augmon,CHH,2002,SG,357,140,0,140,77,225,103,54,56,12
15531,Isaac Austin,MEM,2002,C,76,36,0,36,4,71,13,11,9,5
15532,William Avery,MIN,2002,PG,71,26,6,20,13,24,36,19,7,0
15533,Dalibor Bagaric,CHI,2002,C,185,72,0,72,41,162,23,46,17,24
15534,Vin Baker,SEA,2002,C,774,315,1,314,143,350,72,127,22,36
15535,Erick Barkley,POR,2002,PG,58,24,1,23,9,18,34,12,17,1
15536,Dana Barros,DET,2002,PG,193,74,24,50,21,57,78,33,14,2
15537,Brent Barry,SEA,2002,SG,1164,401,164,237,198,441,426,165,147,37
15538,Jon Barry,DET,2002,SG,739,255,121,134,108,234,274,111,94,20
15539,Mengke Bateer,DEN,2002,C,139,53,4,49,29,96,22,32,10,5
15540,Tony Battie,BOS,2002,C,510,211,0,211,88,481,35,51,60,67
15541,Shane Battier,MEM,2002,SF,1125,412,103,309,198,418,216,155,121,81
15542,Charlie Bell,TOT,2002,SG,8,3,0,3,2,5,2,5,0,0
15543,Charlie Bell,PHO,2002,SG,8,3,0,3,2,4,2,5,0,0
15544,Charlie Bell,DAL,2002,SG,0,0,0,0,0,1,0,0,0,0
15545,Raja Bell,PHI,2002,SG,254,103,12,91,36,111,71,48,21,4
15546,Jonathan Bender,IND,2002,SF,581,198,45,153,140,244,62,96,19,49
15547,Travis Best,TOT,2002,PG,581,228,21,207,104,151,324,99,89,7
15548,Travis Best,IND,2002,PG,302,116,13,103,57,70,175,59,57,6
15549,Travis Best,CHI,2002,PG,279,112,8,104,47,81,149,40,32,1
15550,Mike Bibby,SAC,2002,PG,1098,446,51,395,155,222,403,134,87,15
15551,Chauncey Billups,MIN,2002,PG,1027,348,124,224,207,226,450,138,66,17
