,TEAM,SEASON,W,L,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD
208,Utah Jazz,2012-13,43,39,98,37.1,6.2,17.5,42,22.7,14.8,8.4,6.3,5.9,21.3,20.4
209,Washington Wizards,2012-13,29,53,93.2,35.5,6.6,15.6,43.2,21.6,15.1,7.3,4.6,4.4,20.5,19.1
210,Atlanta Hawks,2011-12,40,26,96.6,36.8,7.5,15.5,41.2,22.4,14,8.1,4.6,4.7,17.8,19.1
211,Boston Celtics,2011-12,39,27,91.8,35.5,5.5,15.4,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4
212,Charlotte Bobcats,2011-12,7,59,87,33.2,4,16.5,39,20.1,14.5,6,5.5,5.7,18.9,20.3
213,Chicago Bulls,2011-12,50,16,96.3,37.4,6.3,15.2,46.7,23.1,14,6.9,5.9,5.2,17.3,17.7
214,Cleveland Cavaliers,2011-12,21,45,93,34.3,6.7,17.8,42.3,19.8,15.4,7.1,4,6.2,20,20.9
215,Dallas Mavericks,2011-12,36,30,95.8,36.3,7.5,15.6,42.8,20.9,14,8.6,5.1,4,18.6,18.4
216,Denver Nuggets,2011-12,38,28,104.1,39,6.6,19.6,43.1,24,15.4,8.2,5,6.7,19.7,22
217,Detroit Pistons,2011-12,25,41,90.9,34.7,4.8,16.6,40.3,18.7,15.7,7,4.2,5.3,19.6,19.4
218,Golden State Warriors,2011-12,23,43,97.8,37.7,7.9,14.4,39.2,22.3,13.9,8,5.5,5,21.4,16.6
219,Houston Rockets,2011-12,34,32,98.1,37.7,7.2,15.4,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4
220,Indiana Pacers,2011-12,42,24,97.7,35.7,5.9,20.4,43.9,18.6,14,7.9,5.4,6,21.7,21.6
221,Los Angeles Clippers,2011-12,40,26,97.5,37,7.8,15.8,41.6,21,13.3,8.4,4.8,4.5,21.2,21.2
222,Los Angeles Lakers,2011-12,41,25,97.3,36.8,5.5,18.2,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2
223,Memphis Grizzlies,2011-12,41,25,95,36.7,4.2,17.3,42,19.5,14.5,9.6,5.2,5.5,19.9,19.3
224,Miami Heat,2011-12,46,20,98.5,37.1,5.6,18.8,41.6,20,15.2,8.9,5.4,4.2,19.4,20.5
225,Milwaukee Bucks,2011-12,31,35,99,37.9,6.6,16.6,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4
226,Minnesota Timberwolves,2011-12,26,40,97.9,35.7,7.2,19.4,43.7,19.5,15.2,6.6,4.4,5.7,18.4,21.7
227,New Jersey Nets,2011-12,22,44,93.1,34.3,7.7,16.9,40.3,19.9,15.1,7.5,3.9,5,19.2,19.3
228,New Orleans Hornets,2011-12,21,45,89.6,34.8,3.9,16,41.1,20.7,15.5,7.4,4.8,5.8,20.1,18.7
229,New York Knicks,2011-12,36,30,97.8,35.8,7.8,18.3,41.7,20.1,16,9.4,4.2,5.1,21.1,21.8
230,Oklahoma City Thunder,2011-12,47,19,103.1,37.3,7.2,21.3,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20
231,Orlando Magic,2011-12,37,29,94.2,34.5,10.2,15.1,42.5,20,14.9,6.8,4.2,4.1,17.7,19.8
232,Philadelphia 76ers,2011-12,35,31,93.6,37.4,5.3,13.5,43.2,22,11.2,8,5.2,4.8,17.5,16.2
233,Phoenix Suns,2011-12,33,33,98.4,37.8,6.7,16,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6
234,Portland Trail Blazers,2011-12,28,38,97.2,36.4,7.2,17.2,40.7,20.4,14.2,8,4.9,4.8,19,19.8
235,Sacramento Kings,2011-12,22,44,98.8,37.7,6.2,17.1,42.9,19.3,14.4,8.5,4.9,6.4,19.5,19.9
236,San Antonio Spurs,2011-12,50,16,103.7,39.6,8.4,16.2,43,23.2,13.6,7.4,4.4,5,17.3,18.8
237,Toronto Raptors,2011-12,23,43,90.7,34.4,5.5,16.4,42,20.9,15.2,6.5,4.9,4.9,23.2,18.4
238,Utah Jazz,2011-12,36,30,99.7,38.2,4.1,19.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7
239,Washington Wizards,2011-12,20,46,93.6,36.6,5.2,15.3,41.7,19.1,15.3,8,6.3,4.5,21.3,18.7
240,Atlanta Hawks,2010-11,44,38,95,36.2,6.1,16.4,39.3,22,13.6,6.1,4.2,4.2,19,18.5
241,Boston Celtics,2010-11,56,26,96.5,36.9,5,17.8,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2
242,Charlotte Bobcats,2010-11,34,48,93.3,35,4.8,18.4,40.1,21.1,14.5,6.4,5.3,6,20,21.1
243,Chicago Bulls,2010-11,62,20,98.6,37.1,6.2,18.2,44.2,22.3,14.2,7.2,5.7,5.8,20,20.1
244,Cleveland Cavaliers,2010-11,19,63,95.5,35.2,6.2,18.9,40.3,21,14.2,6.6,4.2,6,20.1,21.3
245,Dallas Mavericks,2010-11,57,25,100.2,37.4,7.9,17.5,41.4,23.8,14,6.8,4.3,3.7,19.2,20.1
246,Denver Nuggets,2010-11,50,32,107.5,38.4,8.1,22.7,42,22.1,14.1,7.4,4.3,6,21,22.7
247,Detroit Pistons,2010-11,30,52,97,37.3,5.8,16.7,38.6,21.1,13,7.3,4,4.6,19.9,18.8
248,Golden State Warriors,2010-11,36,46,103.4,39.6,8.4,15.7,40.5,22.5,14.6,9,5,4.3,22,18.4
249,Houston Rockets,2010-11,43,39,105.9,38.7,8.3,20.3,42.8,23.8,13.5,7.1,4.5,5.5,20,21.4
250,Indiana Pacers,2010-11,37,45,99.8,36.6,7.1,19.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4
251,Los Angeles Clippers,2010-11,32,50,98.6,36.8,6.3,18.9,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1
252,Los Angeles Lakers,2010-11,57,25,101.5,38.1,6.4,18.8,44,22,13.1,7.3,5.1,4.5,19,20.7
253,Memphis Grizzlies,2010-11,46,36,99.9,39,3.8,18.1,41,20.6,14,9.4,5.4,6.2,20.8,21.4
254,Miami Heat,2010-11,58,24,102.1,37,6.7,21.5,42.1,20,13.9,6.6,5.2,3,20.4,21.8
255,Milwaukee Bucks,2010-11,35,47,91.9,34.3,5.9,17.4,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7
256,Minnesota Timberwolves,2010-11,17,65,101.1,37.7,7.2,18.5,44.4,20.1,17,7.2,5.1,5.5,22.3,20.9
257,New Jersey Nets,2010-11,24,58,94.2,35.6,5.6,17.4,40.8,21,14,5.6,4.7,4.6,22,20
258,New Orleans Hornets,2010-11,46,36,94.9,35.9,5.4,17.7,40.1,20.6,13,7.6,4.4,4.8,21,20.4
259,New York Knicks,2010-11,42,40,106.5,38.3,9.3,20.6,40.5,21.4,13.7,7.6,5.8,4.4,21.3,20.8
260,Oklahoma City Thunder,2010-11,55,27,104.8,37.4,5.9,24.1,42.8,20.4,14.1,8,5.9,4.3,22.4,21.5
261,Orlando Magic,2010-11,52,30,99.2,36,9.4,17.7,43.2,20,14.9,6.7,4.7,3.8,20,21.8
262,Philadelphia 76ers,2010-11,41,41,99,38.1,5.4,17.4,41.8,22.7,13,7.6,4.3,4.6,19.4,18.8
263,Phoenix Suns,2010-11,40,42,105,39.3,8.5,18,40.2,23.7,14.3,6.6,4.4,4.3,20.3,21.2
264,Portland Trail Blazers,2010-11,48,34,96.3,36,6.3,18,39.3,21.2,13,8,4.4,4.1,19.3,21.3
265,Sacramento Kings,2010-11,24,58,99.4,38.2,5.2,17.7,43.9,20.4,16.1,7.4,4.8,5.7,22,21
266,San Antonio Spurs,2010-11,61,21,103.7,38.4,8.4,18.5,41.9,22.4,13.4,7.3,4.5,4.6,19,20.7
267,Toronto Raptors,2010-11,22,60,99.1,38.3,4.2,18.2,40.3,21.9,14.7,7.1,4.3,5.6,22,19.8
268,Utah Jazz,2010-11,39,43,99.4,37.4,5.3,19.4,39.5,23.4,14.3,7.7,5.9,5,22.7,22
269,Washington Wizards,2010-11,23,59,97.3,37.2,4.8,18.2,41.3,19.4,15.3,8.1,6.1,5,22.6,20.3
270,Atlanta Hawks,2009-10,53,29,101.7,38.8,6.4,17.7,41.7,21.8,12,7.2,5,4.4,19.9,19.3
271,Boston Celtics,2009-10,50,32,99.2,37.1,6.1,19,38.6,23.5,14.9,8.5,4.9,4.7,22.1,21.7
272,Charlotte Bobcats,2009-10,44,38,95.3,34.9,5.6,20,40.8,20.2,15.7,7.7,5.4,6.1,19.5,22
273,Chicago Bulls,2009-10,41,41,97.5,37.6,4.3,18,44.5,20.8,14.3,6.5,5.8,5.3,20.1,20
274,Cleveland Cavaliers,2009-10,61,21,102.1,37.8,7.3,19.1,42.5,22.4,13.9,6.9,5.2,4,19.4,20.8
275,Dallas Mavericks,2009-10,55,27,102,38.3,6.8,18.6,41.7,23.4,12.9,7.6,5.5,4.1,19.1,20.1
276,Denver Nuggets,2009-10,53,29,106.5,38.1,6.6,23.6,41.4,21,13.9,8.3,5.1,5.3,22.5,23.7
277,Detroit Pistons,2009-10,27,55,94,35.9,4.6,17.7,40.2,19.4,13.4,7.3,3.8,4.9,22.2,20.8
278,Golden State Warriors,2009-10,26,56,108.8,40.6,7.7,19.9,38.4,22.4,14.7,9.3,4.1,5,23,21.4
279,Houston Rockets,2009-10,42,40,102.4,37.7,7.9,19,42,21.8,14.5,7.1,3.9,6.5,20.9,22.4
280,Indiana Pacers,2009-10,32,50,100.8,36.8,8,19.1,41.5,21.1,15,7.1,5.4,5,22.5,20.8
281,Los Angeles Clippers,2009-10,29,53,95.7,36.6,5.9,16.6,41.8,22.1,15.7,6.5,5.7,4.4,19.3,19.4
282,Los Angeles Lakers,2009-10,57,25,101.7,38.3,6.5,18.5,44.3,21.1,13.4,7.5,4.9,4.4,19.4,21.2
283,Memphis Grizzlies,2009-10,40,42,102.5,39.3,4.2,19.7,43.5,18.8,15.2,7.9,4.9,6.1,20.2,22.4
284,Miami Heat,2009-10,47,35,96.5,36.4,6,17.7,41.8,18.9,13.2,7.4,5.6,4.3,20.9,20
285,Milwaukee Bucks,2009-10,46,36,97.7,37.2,7.9,15.4,43,21.2,13.2,7.1,4.7,5.1,22.2,20.3
286,Minnesota Timberwolves,2009-10,15,67,98.2,37.9,4.9,17.5,42.9,19.8,16.3,7.3,3.7,5.4,20.7,20.6
287,New Jersey Nets,2009-10,12,70,92.4,34.3,4.6,19.2,39.7,18.8,14.4,7,4.8,5.1,20,20.1
288,New Orleans Hornets,2009-10,37,45,100.2,38.8,7,15.8,40.3,22.3,13.5,7.6,3.7,4.5,19.6,19.5
289,New York Knicks,2009-10,29,53,102.1,38.1,9.1,16.8,40.4,21.6,14,7.1,3.7,4.5,20,19.2
290,Oklahoma City Thunder,2009-10,50,32,101.5,37.4,5.1,21.7,43.5,20,15,8,5.9,4.7,21.3,21.4
291,Orlando Magic,2009-10,59,23,102.8,36.6,10.3,19.2,43.2,19.7,14.1,6.2,5.6,3.5,19.9,22.2
292,Philadelphia 76ers,2009-10,27,55,97.7,37.6,5.8,16.7,41,21,14.5,8.1,5.4,4,20.5,18.7
293,Phoenix Suns,2009-10,54,28,110.2,40.7,8.9,19.9,43,23.3,14.8,5.8,5.1,4.5,20.9,21.8
294,Portland Trail Blazers,2009-10,50,32,98.1,36.3,6,19.6,40.2,20.4,12.3,6.4,4.3,4.1,20.9,21.5
295,Sacramento Kings,2009-10,25,57,100,38.3,5.9,17.4,42.6,20.5,15,6.9,4.5,5.7,22.3,20.1
296,San Antonio Spurs,2009-10,50,32,101.4,38.4,6.8,17.8,42.8,22.3,13.6,6.3,4.6,5.1,20.4,20.4
297,Toronto Raptors,2009-10,40,42,104.1,39,6.3,19.7,40.4,22,13.4,5.7,4.7,4.4,22.2,21.1
298,Utah Jazz,2009-10,53,29,104.2,39.4,5.4,20.2,42.2,26.7,15.2,8.2,4.9,5.4,22.7,22.2
299,Washington Wizards,2009-10,26,56,96.2,36.7,5.3,17.6,41.8,19,14.9,6,5.1,5.1,21.4,20.5
300,Atlanta Hawks,2008-09,47,35,98.1,36,7.3,18.7,40,20.2,12.8,7.4,4.6,4.3,19.6,20.5
301,Boston Celtics,2008-09,62,20,100.9,37.5,6.6,19.4,42.1,22.7,15.6,7.6,4.7,4.7,23.1,22.2
302,Charlotte Bobcats,2008-09,35,47,93.6,35,6,17.7,39.7,21.2,15.6,7.1,4.8,6,21.4,20.9
303,Chicago Bulls,2008-09,41,41,102.2,38.1,6,19.9,42.1,21.1,14.5,7.5,5.5,5.5,20.8,20.8
304,Cleveland Cavaliers,2008-09,66,16,100.3,36.9,8,18.6,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3
305,Dallas Mavericks,2008-09,50,32,101.7,38.1,7,18.5,42.7,21.7,12.7,7.2,5.2,4.1,19.5,20.1
306,Denver Nuggets,2008-09,54,28,104.3,37.3,6.7,23.1,41.6,22.2,15.3,8.7,6,5.5,22.9,23.7
307,Detroit Pistons,2008-09,39,43,94.2,36.4,4.6,16.9,41.4,20.6,11.9,6,4.6,4.2,20.9,19.7
308,Golden State Warriors,2008-09,29,53,108.6,39.4,6.7,23.1,42,20.9,14.6,7.8,6.4,5,22.5,23.5
309,Houston Rockets,2008-09,53,29,98.4,36.1,7.6,18.7,43,20.3,14.1,6.7,4.3,5.3,18.9,20.6
310,Indiana Pacers,2008-09,36,46,105.1,39.3,8,18.6,43.7,21.6,14.5,7,5.3,5.4,23.1,20.6
311,Los Angeles Clippers,2008-09,19,63,95.1,36,6.5,16.5,39.8,21,14.9,7,5.9,5,20.1,19.6
312,Los Angeles Lakers,2008-09,65,17,106.9,40.3,6.7,19.6,43.9,23.3,13.5,8.8,5.1,4.8,20.7,22.1
313,Memphis Grizzlies,2008-09,24,58,93.9,34.9,4.9,19.1,38.8,17.4,15.3,7.5,4.7,5.4,21.7,21.8
314,Miami Heat,2008-09,43,39,98.3,37,7.1,17.2,39.5,20.4,12.5,7.9,5.5,4.1,20.7,19.9
315,Milwaukee Bucks,2008-09,34,48,99.3,36.7,6.2,19.7,40.7,22,14.1,7.4,3.8,4.6,24.2,22.5
316,Minnesota Timberwolves,2008-09,24,58,97.8,36.4,6.6,18.3,41.7,20.4,14.2,6.2,3.9,5.9,21.8,20
317,New Jersey Nets,2008-09,34,48,98.1,35.7,8,18.8,39.8,20,13.1,6.8,4.8,4.8,22.4,20.5
318,New Orleans Hornets,2008-09,49,33,95.8,35.5,6.8,18,39.7,19.6,12.5,7.2,4.1,3.5,20.3,20.4
319,New York Knicks,2008-09,32,50,105.2,38.5,10,18.2,42.1,21.2,14.3,7.4,2.5,5.3,20.4,19.4
320,Oklahoma City Thunder,2008-09,23,59,97,36.6,4,19.8,42.6,20.3,16.2,7.4,4.5,5,20.2,20.2
321,Orlando Magic,2008-09,59,23,101,35.7,10,19.6,43.3,19.4,13.9,7,5.4,3.8,20.3,22.4
322,Philadelphia 76ers,2008-09,41,41,97.4,36.5,4.2,20.1,41.2,20.1,14.1,8,5.1,4.9,20.1,21.8
323,Phoenix Suns,2008-09,46,36,109.4,41.1,6.7,20.4,41.7,23.2,15.7,7.2,5.1,4.5,20.6,22.9
324,Portland Trail Blazers,2008-09,54,28,99.4,36.8,7.3,18.5,41.7,20.3,12.9,6.7,4.9,3.9,20.4,21.1
325,Sacramento Kings,2008-09,17,65,100.6,36.5,7.1,20.5,39.1,19.7,15.4,6.9,4.3,5.2,23.3,21.2
326,San Antonio Spurs,2008-09,54,28,97,37.1,7.6,15.2,41,21.2,11.7,5.8,4,4.3,18.9,18.4
327,Toronto Raptors,2008-09,33,49,99,37.2,5.8,18.7,40.4,22.4,13.4,6.4,4.8,4.7,19.4,20.1
328,Utah Jazz,2008-09,48,34,103.6,38.3,4.8,22.1,41,24.7,14.8,8.8,4.6,5.2,22.3,24
329,Washington Wizards,2008-09,19,63,96.1,36.5,4.8,18.2,40.1,20,14,7.5,4.5,5.3,20.5,20
330,Atlanta Hawks,2007-08,37,45,98.2,36.3,4.7,21,42.2,22,14.9,7.3,5.5,5.1,20.4,21.9
331,Boston Celtics,2007-08,66,16,100.5,36.4,7.3,20.5,42,22.4,15.2,8.5,4.6,4.7,22.7,22.2
332,Charlotte Bobcats,2007-08,32,50,97.1,36.1,6.5,18.4,40.6,21.3,14.7,7.5,4.9,5.8,21.7,21
333,Chicago Bulls,2007-08,33,49,97.3,36.4,5.8,18.7,43,22.1,14.6,7.7,5.2,5.7,21.8,21.3
334,Cleveland Cavaliers,2007-08,45,37,96.4,35.8,6.7,18,44.6,20,14,7.1,5.2,4.7,20.9,20.3
335,Dallas Mavericks,2007-08,51,31,100.4,36.9,6,20.6,43,21,12.6,6,4.9,4.4,21.8,21.2
336,Denver Nuggets,2007-08,50,32,110.7,40.3,6.9,23.1,44.1,24.7,14.7,9.2,6.7,4.8,21.1,23.8
337,Detroit Pistons,2007-08,59,23,97.5,36.6,5.9,18.4,41.4,22.3,11.7,7.1,5.8,3.9,20.6,19.7
338,Golden State Warriors,2007-08,48,34,111,41.5,9.3,18.8,43.2,22.4,13.2,9.1,4.6,5,22.9,21.2
339,Houston Rockets,2007-08,55,27,96.7,36.6,7.1,16.4,44.6,21.4,13.7,7.3,5.1,4.6,19.6,19.7
340,Indiana Pacers,2007-08,36,46,104,37.8,9.2,19.1,43.1,22.7,15.1,7.6,5,5.1,23.4,21.7
341,Los Angeles Clippers,2007-08,23,59,93.8,34.4,4.3,20.8,40.1,21.1,14.4,6.8,4.9,4.7,21.3,21.6
342,Los Angeles Lakers,2007-08,57,25,108.6,39.6,8.1,21.3,44.1,24.4,14.1,8,5.3,4.5,20.6,22.6
343,Memphis Grizzlies,2007-08,22,60,100.7,37.3,7.6,18.5,41.6,19.2,15.3,6.1,4.7,4.9,19.4,22.5
344,Miami Heat,2007-08,15,67,91.4,34.2,6,16.9,37.6,20,14.7,7.2,4.3,4.2,20.4,20.1
345,Milwaukee Bucks,2007-08,26,56,97,36.9,5.5,17.7,41.7,21.5,14.8,6.6,4.4,4.9,21.3,21.1
346,Minnesota Timberwolves,2007-08,22,60,95.6,37.5,5.4,15.2,41.4,19.9,14.5,7.5,3.7,5.7,23,17.5
347,New Jersey Nets,2007-08,34,48,95.8,34.8,6.1,20.1,41.9,23.5,15,6.4,4.8,4.4,22.6,22.4
348,New Orleans Hornets,2007-08,56,26,100.9,38.6,7.7,16,41.8,21.8,11.9,7.8,3.9,4,18.7,19.2
349,New York Knicks,2007-08,23,59,96.9,36.2,6,18.6,42.5,18.7,14.5,6.4,2.6,5.2,21.5,20.3
350,Orlando Magic,2007-08,52,30,104.5,37.3,9.8,20.1,42,20.8,14.3,6.3,4.1,4.2,20.6,23.1
351,Philadelphia 76ers,2007-08,40,42,96.6,37.3,3.7,18.4,41.9,20.4,14.3,8.7,4.9,5.1,19.8,20.8
352,Phoenix Suns,2007-08,55,27,110.1,41.4,8.5,18.9,41.5,26.7,14.4,6.5,6.3,3.8,19.9,21.1
353,Portland Trail Blazers,2007-08,41,41,95.4,35.8,6.6,17.2,40.7,21.1,12.9,5.5,4.4,3.7,20,20.2
354,Sacramento Kings,2007-08,38,44,102.5,37.1,6.2,22.1,40.1,19.1,16.1,7.9,4.1,5.5,22.4,23.1
355,San Antonio Spurs,2007-08,56,26,95.4,35.8,7.2,16.5,41.3,21,12.6,6.4,4.1,4.4,18.7,19.8
356,Seattle SuperSonics,2007-08,20,62,97.5,38.1,3.8,17.5,44.6,21.3,16,6.5,4.9,5.4,20.5,19.6
357,Toronto Raptors,2007-08,41,41,100.2,38.4,7,16.4,40.1,23.8,11.7,7,4.1,4.1,19.5,18.4
358,Utah Jazz,2007-08,54,28,106.2,40,5,21.3,40.9,26.4,14.6,8.7,4.3,5.1,24,23.1
359,Washington Wizards,2007-08,43,39,98.8,36.4,7,19,41.6,19.6,13.2,7.7,4.8,4.4,19.6,20.2
360,Atlanta Hawks,2006-07,30,52,93.7,34.5,4.2,20.5,40.1,19.2,15.9,7.4,5.4,5.1,24,22.6
361,Boston Celtics,2006-07,24,58,95.8,34.9,5.7,20.4,40.4,19.9,16.5,7.2,4.7,5.5,24,21.4
362,Charlotte Bobcats,2006-07,33,49,96.9,36.1,5.6,19.1,39.8,22.4,14.9,7.8,4.5,5.3,24.2,21.8
363,Chicago Bulls,2006-07,49,33,98.8,37.1,5.9,18.6,43.7,22.3,16,7.8,5.4,5.3,23.3,23.2
364,Cleveland Cavaliers,2006-07,50,32,96.8,36.3,6,18.1,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22
365,Dallas Mavericks,2006-07,67,15,100,36.7,6.5,20.1,41.9,19.9,13.9,6.8,5,3.8,22.4,22.1
366,Denver Nuggets,2006-07,45,37,105.4,38.6,5.9,22.3,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7
367,Detroit Pistons,2006-07,53,29,96,35.9,5.5,18.8,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3
368,Golden State Warriors,2006-07,42,40,106.5,39.8,8.5,18.5,41.4,23.8,16,9.1,5.7,4.9,23.6,22.3
369,Houston Rockets,2006-07,52,30,97,35.4,8.6,17.5,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9
370,Indiana Pacers,2006-07,35,47,95.6,35,5.9,19.7,41.8,20.5,16.3,7.3,5.5,5,23.3,23.7
371,Los Angeles Clippers,2006-07,40,42,95.6,35.1,3.8,21.6,41.1,21.5,15.1,7.3,5.8,3.9,22.7,22.3
372,Los Angeles Lakers,2006-07,42,40,103.3,37.8,7.4,20.2,41.2,22.6,15.5,7.3,5.1,5,23,23.4
373,Memphis Grizzlies,2006-07,22,60,101.6,36.6,6.1,22.4,39.5,20.5,16.4,6.9,5,5.5,22.3,24.3
374,Miami Heat,2006-07,44,38,94.6,35.6,6.4,17,40.8,20.5,14.6,6.9,5.4,3.8,21.3,21.8
375,Milwaukee Bucks,2006-07,28,54,99.7,38.1,6.4,17.1,39.2,21.6,15.1,7.2,2.7,5.3,22.2,21
376,Minnesota Timberwolves,2006-07,32,50,96.1,36.5,4.7,18.3,40.1,22.5,15.6,6.5,4,4.4,21.4,20.5
377,New Jersey Nets,2006-07,41,41,97.6,35.5,7.4,19.1,40.8,23.9,14.8,6.1,3.3,4.5,22.8,23
378,New Orleans/Oklahoma City Hornets,2006-07,39,43,95.5,36.2,5.5,17.5,43.1,18.7,14.5,6.4,4.2,4.8,19.8,21.1
379,New York Knicks,2006-07,33,49,97.5,35.4,5.8,20.9,43.3,18.7,17.1,6.6,3.2,5,23.6,22.9
380,Orlando Magic,2006-07,40,42,94.8,35.1,4.2,20.5,40.7,18.6,17,6.9,5.1,4.6,23.2,23.4
381,Philadelphia 76ers,2006-07,35,47,94.9,35.8,3.5,20,39.7,20.4,15.3,7.2,4.8,3.9,20.4,22
382,Phoenix Suns,2006-07,61,21,110.2,41.3,9.6,18,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5
383,Portland Trail Blazers,2006-07,32,50,94.1,35,5.2,18.8,39.3,18.5,15.1,6.8,4.6,4.6,23.5,21.3
384,Sacramento Kings,2006-07,33,49,101.3,35.9,6.5,23.1,38.9,20.3,14.6,8.2,3.2,4.9,21.9,24.3
385,San Antonio Spurs,2006-07,58,24,98.5,36.6,7.3,18.1,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2
386,Seattle SuperSonics,2006-07,31,51,99.1,37.2,6.4,18.4,39.6,20.7,15.5,7.7,3.7,4.2,22,19.9
387,Toronto Raptors,2006-07,47,35,99.5,37,6.5,19,39.5,22.2,13.5,7.1,3.9,3.9,20.4,21.8
388,Utah Jazz,2006-07,51,31,101.5,37.4,4.3,22.3,42.5,24.7,15.6,7,4.1,5.3,25.2,24.5
389,Washington Wizards,2006-07,41,41,104.3,37.4,6.8,22.6,41.2,20.2,13.8,7.7,4.6,4.6,22.2,23.5
390,Atlanta Hawks,2005-06,26,56,97.2,35.9,5.2,20.2,40.3,19.8,15.7,7.2,4.8,5.1,25,22.6
391,Boston Celtics,2005-06,33,49,98,36,5.7,20.3,39.6,20.9,16.6,7,5.1,4.9,24.8,22.4
392,Charlotte Bobcats,2005-06,26,56,96.9,36.1,5.2,19.4,39.8,20.9,14.2,10,4.3,5.4,23.9,23.5
393,Chicago Bulls,2005-06,41,41,97.8,36.6,6.8,17.7,42.8,22,14.9,6.2,4.2,5.1,24.9,23
394,Cleveland Cavaliers,2005-06,50,32,97.6,35.5,6.1,20.6,42.3,19,13.9,6.9,4.8,4.4,21.1,22.5
395,Dallas Mavericks,2005-06,60,22,99.1,36,5.1,22.2,42.2,18,13.6,7.2,6,4.9,22.4,23.6
396,Denver Nuggets,2005-06,44,38,100.3,37.5,4.3,21,41.3,23.4,14.8,8.5,5.6,5.3,22.7,23.3
397,Detroit Pistons,2005-06,64,18,96.8,36.4,6.8,17.3,40.5,24,11.4,7.1,6,3.5,18.5,20.9
398,Golden State Warriors,2005-06,34,48,98.5,35.8,7.6,19.2,42.3,20.7,14.1,7.4,4.3,5,23.7,23.4
399,Houston Rockets,2005-06,34,48,90.1,33,5.7,18.3,41.6,19.3,14.5,7.2,3.9,4.5,22.7,20.9
400,Indiana Pacers,2005-06,41,41,93.9,34,6.5,19.4,42.2,19.9,15.3,7.3,5,4.9,22.2,22
401,Los Angeles Clippers,2005-06,47,35,97.2,36.5,3.5,20.7,43.1,20.8,14.5,6.5,6.1,4.3,22.8,21.7
402,Los Angeles Lakers,2005-06,45,37,99.4,36.5,6.7,19.7,42.2,21.1,13.9,7.7,4.3,4.3,23.1,23.5
403,Memphis Grizzlies,2005-06,49,33,92.2,33.5,7.2,18,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8
404,Miami Heat,2005-06,52,30,99.9,37.1,6.1,19.7,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6
405,Milwaukee Bucks,2005-06,40,42,97.8,36.3,6.2,19,41.2,21.6,14.6,7.3,3.3,5,23.2,23.6
406,Minnesota Timberwolves,2005-06,33,49,91.7,35.2,3.8,17.5,39.4,20.9,14.5,6.8,5.7,4.6,23,21.2
407,New Jersey Nets,2005-06,49,33,93.8,33.9,5.8,20.2,41,23,13.6,6.8,3.4,4,23.2,23
408,New Orleans/Oklahoma City Hornets,2005-06,38,44,92.8,34.5,3.7,20.1,40.2,18.5,13.4,7.5,3.8,5.3,21.8,23.3
409,New York Knicks,2005-06,23,59,95.6,34.4,3.9,22.9,41.4,17.9,17.7,6.8,3.3,5.3,26.3,25
410,Orlando Magic,2005-06,36,46,94.9,35.5,3.6,20.3,40.2,18.2,15.1,6.5,4.4,4.7,23.3,23.2
411,Philadelphia 76ers,2005-06,38,44,99.4,36.6,4.6,21.6,40.2,20.2,14.1,7.9,4.9,4.7,20.9,23.1
412,Phoenix Suns,2005-06,54,28,108.4,41.8,10.2,14.5,41.8,26.6,13.3,6.7,5,3.4,20.5,19.8
413,Portland Trail Blazers,2005-06,21,61,88.8,34,4.4,16.3,37.7,18.2,14.7,6.5,5.3,4.9,22.3,20.8
414,Sacramento Kings,2005-06,44,38,98.9,36,6,20.8,40.5,22.3,14.6,7.4,3.6,4.9,20.4,22.8
415,San Antonio Spurs,2005-06,63,19,95.6,36.5,6.4,16.2,41.5,20.9,13.7,6.6,5.7,4.2,20.9,20.6
416,Seattle SuperSonics,2005-06,35,47,102.6,37.5,7.4,20.1,39.6,20.7,14.7,7.6,3.7,4.9,23.6,22.2
417,Toronto Raptors,2005-06,27,55,101.1,36.7,7.4,20.2,38.5,19.4,13.1,6.5,3.3,4.4,24,22.4
418,Utah Jazz,2005-06,41,41,92.4,33.5,3.8,21.6,42.1,21.6,15.7,6.4,6,5.6,24.8,25.7
