,TEAM,SEASON,W,L,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD
47,Minnesota Timberwolves,2017-18,47,35,109.5,41,8,19.4,42,22.7,12.5,8.4,4.2,4.7,18.2,20.9
48,New Orleans Pelicans,2017-18,48,34,111.7,42.7,10.2,16.1,44.3,26.8,14.9,8,5.9,4.2,19.1,20.4
49,New York Knicks,2017-18,29,53,104.5,40.7,8.2,14.9,44,23.3,14.7,6.7,5.1,4.7,20.5,18.4
50,Oklahoma City Thunder,2017-18,48,34,107.9,39.9,10.7,17.3,45.1,21.3,14,9.1,5,4.6,20.2,21.3
51,Orlando Magic,2017-18,25,57,103.4,38.8,10.3,15.5,41.6,23.4,14.5,7.6,4.9,4.9,19.3,19
52,Philadelphia 76ers,2017-18,52,30,109.8,40.8,11,17.1,47.4,27.1,16.5,8.3,5.1,5.1,22.1,20.4
53,Phoenix Suns,2017-18,21,61,103.9,38.5,9.3,17.7,44.1,21.3,15.7,6.9,4.5,6,22,20.9
54,Portland Trail Blazers,2017-18,49,33,105.6,39.3,10.3,16.7,45.5,19.5,13.5,7,5.2,5.1,19.5,19.1
55,Sacramento Kings,2017-18,27,55,98.8,38.8,9,12.3,40.9,21.6,13.7,7.8,4.1,4.7,20,17.3
56,San Antonio Spurs,2017-18,47,35,102.7,39,8.5,16.1,44.2,22.8,13.1,7.7,5.6,3.9,17.2,19.7
57,Toronto Raptors,2017-18,59,23,111.7,41.3,11.8,17.3,44,24.3,13.4,7.6,6.1,4.9,21.7,19.9
58,Utah Jazz,2017-18,48,34,104.1,38.3,10.8,16.8,43.3,22.4,14.7,8.6,5.1,4.6,19.6,20.5
59,Washington Wizards,2017-18,43,39,106.6,39.9,9.9,16.8,43.1,25.2,14.6,7.9,4.3,4.7,21.3,20
60,Atlanta Hawks,2016-17,43,39,103.2,38.1,8.9,18.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6
61,Boston Celtics,2016-17,53,29,108,38.6,12,18.7,42,25.2,13.3,7.5,4.1,5.2,20.6,20.3
62,Brooklyn Nets,2016-17,20,62,105.8,37.8,10.7,19.4,43.9,21.4,16.5,7.2,4.7,5.6,21,20.4
63,Charlotte Hornets,2016-17,36,46,104.9,37.7,10,19.4,43.6,23.1,11.5,7,4.8,5.5,16.6,19.9
64,Chicago Bulls,2016-17,41,41,102.9,38.6,7.6,18,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8
65,Cleveland Cavaliers,2016-17,51,31,110.3,39.9,13,17.5,43.7,22.7,13.7,6.6,4,4.3,18.1,20.6
66,Dallas Mavericks,2016-17,33,49,97.9,36.2,10.7,14.8,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4
67,Denver Nuggets,2016-17,40,42,111.7,41.2,10.6,18.7,46.4,25.3,15,6.9,3.9,4.9,19.1,20.2
68,Detroit Pistons,2016-17,37,45,101.3,39.9,7.7,13.9,45.7,21.1,11.9,7,3.8,4.1,17.9,17.5
69,Golden State Warriors,2016-17,67,15,115.9,43.1,12,17.8,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4
70,Houston Rockets,2016-17,55,27,115.3,40.3,14.4,20.3,44.4,25.2,15.1,8.2,4.3,5,19.9,20.4
71,Indiana Pacers,2016-17,42,40,105.1,39.3,8.6,17.9,42,22.5,13.8,8.2,5,5,19.5,19.5
72,LA Clippers,2016-17,51,31,108.7,39.5,10.3,19.3,43,22.5,13,7.5,4.2,3.1,19.8,22.4
73,Los Angeles Lakers,2016-17,26,56,104.6,39.3,8.9,17,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5
74,Memphis Grizzlies,2016-17,43,39,100.5,36.4,9.4,18.3,42.8,21.3,12.9,8,4.2,5,22.4,20.8
75,Miami Heat,2016-17,41,41,103.2,39,9.9,15.2,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7
76,Milwaukee Bucks,2016-17,42,40,103.6,38.8,8.8,17.2,40.4,24.2,14,8.1,5.3,4.6,20.2,19.3
77,Minnesota Timberwolves,2016-17,31,51,105.6,39.5,7.3,19.3,42.4,23.7,14,8,4.5,5,20.1,20.5
78,New Orleans Pelicans,2016-17,34,48,104.3,39.1,9.4,16.7,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3
79,New York Knicks,2016-17,31,51,104.3,39.6,8.6,16.6,45.2,21.8,13.9,7.1,5.5,4.6,20.3,18.5
80,Oklahoma City Thunder,2016-17,47,35,106.6,39.5,8.4,19.2,46.6,21,15,7.9,5,5.5,20.9,20.7
81,Orlando Magic,2016-17,29,53,101.1,38.3,8.5,16,43.2,22.2,13.3,7.1,4.8,5.1,19.3,18.7
82,Philadelphia 76ers,2016-17,28,54,102.4,37.7,10.1,17,42.8,23.8,16.7,8.4,5.1,5.4,21.9,19.6
83,Phoenix Suns,2016-17,24,58,107.7,39.9,7.5,20.4,45,19.6,15.4,8.2,4.9,5.3,24.8,22.2
84,Portland Trail Blazers,2016-17,41,41,107.9,39.5,10.4,18.5,43.7,21.1,13.7,7,5,5.3,21.2,19.8
85,Sacramento Kings,2016-17,32,50,102.8,37.9,9,18.1,41.1,22.5,14.6,7.6,4,5.1,20.3,20.1
86,San Antonio Spurs,2016-17,61,21,105.3,39.3,9.2,17.6,43.9,23.8,13.4,8,5.9,4.1,18.3,19.8
87,Toronto Raptors,2016-17,51,31,106.9,39.2,8.8,19.7,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3
88,Utah Jazz,2016-17,51,31,100.7,37,9.6,17.1,43.2,20.1,13.6,6.7,5,3.8,18.8,20.2
89,Washington Wizards,2016-17,49,33,109.2,41.3,9.2,17.3,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8
90,Atlanta Hawks,2015-16,48,34,102.8,38.6,9.9,15.6,42.1,25.6,15,9.1,5.9,5,19.1,18.3
91,Boston Celtics,2015-16,48,34,105.7,39.2,8.7,18.5,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21
92,Brooklyn Nets,2015-16,21,61,98.6,38.2,6.5,15.7,42.4,22.3,14.8,7.6,4,5.2,18,18.4
93,Charlotte Hornets,2015-16,48,34,103.4,37,10.6,18.7,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4
94,Chicago Bulls,2015-16,42,40,101.6,38.6,7.9,16.5,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7
95,Cleveland Cavaliers,2015-16,57,25,104.3,38.7,10.7,16.3,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6
96,Dallas Mavericks,2015-16,42,40,102.3,37.4,9.8,17.7,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4
97,Denver Nuggets,2015-16,33,49,101.9,37.7,8,18.5,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9
98,Detroit Pistons,2015-16,44,38,102,37.9,9,17.1,46.3,19.4,13.5,7,3.7,4.5,19,21.6
99,Golden State Warriors,2015-16,73,9,114.9,42.5,13.1,16.7,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8
100,Houston Rockets,2015-16,41,41,106.5,37.7,10.7,20.4,43.1,22.2,15.9,10,5.2,4.9,21.8,22.5
101,Indiana Pacers,2015-16,45,37,102.2,38.3,8.1,17.4,44.2,21.2,14.9,9,4.8,4.5,20,20.4
102,LA Clippers,2015-16,53,29,104.5,38.3,9.7,18.2,42,22.8,13,8.6,5.6,3.2,21.3,22.5
103,Los Angeles Lakers,2015-16,17,65,97.3,35.1,7.8,19.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2
104,Memphis Grizzlies,2015-16,42,40,99.1,36.8,6.1,19.3,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1
105,Miami Heat,2015-16,48,34,100,38.4,6.1,17.1,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6
106,Milwaukee Bucks,2015-16,33,49,99,38.4,5.4,17,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5
107,Minnesota Timberwolves,2015-16,29,53,102.4,37.7,5.5,21.4,41.6,23.4,15,8,4.6,5.2,20.7,21.6
108,New Orleans Pelicans,2015-16,30,52,102.7,38.5,8.6,17.3,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9
